nohup: ignoring input
Loading dataset...
Loading model...
trainable params: 38349123 || all params: 124891971 || trainable%: 30.71
trainable params: 0 || all params: 12944960 || trainable%: 0.00
Starting training on cuda:4...
#################RUNTIME: 33.45311260223389#################
Batch [20/3529], Total loss: 1848.1177978515625, Content loss: 105.3069839477539, Style loss: 39.75239562988281, id loss 1: 7.042503356933594, id loss 2: 165.1235809326172

#################RUNTIME: 31.932443141937256#################
Batch [40/3529], Total loss: 1574.7894287109375, Content loss: 100.14102935791016, Style loss: 28.668970108032227, id loss 1: 4.379629611968994, id loss 2: 161.5257110595703

#################RUNTIME: 31.76206612586975#################
Batch [60/3529], Total loss: 1345.32373046875, Content loss: 91.51177215576172, Style loss: 21.510305404663086, id loss 1: 3.16064190864563, id loss 2: 153.641845703125

#################RUNTIME: 32.86008977890015#################
Batch [80/3529], Total loss: 1307.95556640625, Content loss: 92.8495864868164, Style loss: 18.972990036010742, id loss 1: 2.83268666267395, id loss 2: 156.4664764404297

#################RUNTIME: 31.91513419151306#################
Batch [100/3529], Total loss: 1211.0755615234375, Content loss: 87.92180633544922, Style loss: 16.592880249023438, id loss 1: 2.522674322128296, id loss 2: 149.7167510986328

#################RUNTIME: 30.336448431015015#################
Batch [120/3529], Total loss: 1237.7982177734375, Content loss: 90.39420318603516, Style loss: 16.69280242919922, id loss 1: 2.479348659515381, id loss 2: 152.43728637695312

#################RUNTIME: 30.156067371368408#################
Batch [140/3529], Total loss: 1197.81005859375, Content loss: 88.9138412475586, Style loss: 15.433581352233887, id loss 1: 2.5594685077667236, id loss 2: 151.46238708496094

#################RUNTIME: 30.98591136932373#################
Batch [160/3529], Total loss: 1115.9385986328125, Content loss: 83.2158203125, Style loss: 14.18901252746582, id loss 1: 2.623751640319824, id loss 2: 141.71202087402344

#################RUNTIME: 31.517983198165894#################
Batch [180/3529], Total loss: 1166.4378662109375, Content loss: 87.41077423095703, Style loss: 14.61650276184082, id loss 1: 2.6572694778442383, id loss 2: 146.5240936279297

#################RUNTIME: 30.89316177368164#################
Batch [200/3529], Total loss: 1083.9471435546875, Content loss: 80.7740707397461, Style loss: 13.810317993164062, id loss 1: 2.68296217918396, id loss 2: 136.7118377685547

#################RUNTIME: 31.822143077850342#################
Batch [220/3529], Total loss: 1137.653564453125, Content loss: 85.09584045410156, Style loss: 14.334761619567871, id loss 1: 2.609423875808716, id loss 2: 142.4725341796875

#################RUNTIME: 36.42272973060608#################
Batch [240/3529], Total loss: 1095.3843994140625, Content loss: 83.32044982910156, Style loss: 13.10899829864502, id loss 1: 2.5546114444732666, id loss 2: 138.29696655273438

#################RUNTIME: 36.09274625778198#################
Batch [260/3529], Total loss: 1092.1025390625, Content loss: 83.25521087646484, Style loss: 12.97751522064209, id loss 1: 2.4721732139587402, id loss 2: 139.53494262695312

#################RUNTIME: 34.19753050804138#################
Batch [280/3529], Total loss: 1026.5386962890625, Content loss: 78.21223449707031, Style loss: 12.220816612243652, id loss 1: 2.2710959911346436, id loss 2: 131.38291931152344

#################RUNTIME: 33.88223600387573#################
Batch [300/3529], Total loss: 1071.8736572265625, Content loss: 81.99325561523438, Style loss: 12.59704875946045, id loss 1: 2.3495354652404785, id loss 2: 136.5996551513672

#################RUNTIME: 41.90194010734558#################
Batch [320/3529], Total loss: 1031.6787109375, Content loss: 79.33894348144531, Style loss: 11.914466857910156, id loss 1: 2.332963705062866, id loss 2: 131.16856384277344

#################RUNTIME: 45.90661096572876#################
Batch [340/3529], Total loss: 1029.2745361328125, Content loss: 78.28862762451172, Style loss: 12.31940746307373, id loss 1: 2.118332624435425, id loss 2: 131.65074157714844

#################RUNTIME: 50.274134159088135#################
Batch [360/3529], Total loss: 1070.8099365234375, Content loss: 81.57843780517578, Style loss: 12.7512788772583, id loss 1: 2.103980541229248, id loss 2: 135.99102783203125

#################RUNTIME: 53.94599938392639#################
Batch [380/3529], Total loss: 972.4631958007812, Content loss: 74.90983581542969, Style loss: 11.16824722290039, id loss 1: 2.1294562816619873, id loss 2: 124.36626434326172

